"","metaanalysisid","site","n1","n2","y1","y2","ZI_study","zi_rate","n_study","b0","b1"
"35",4,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"36",4,6,50,50,1,0,0,0.25,10,-3.929,-3.929
"37",4,7,50,50,0,1,0,0.25,10,-3.929,-3.929
"38",4,8,50,50,0,0,1,0.25,10,-3.929,-3.929
"39",4,9,50,50,0,0,0,0.25,10,-3.929,-3.929
"40",4,10,50,50,1,8,0,0.25,10,-3.929,-3.929
"41",5,1,50,50,2,3,0,0.25,10,-3.929,-3.929
"42",5,2,50,50,0,0,0,0.25,10,-3.929,-3.929
"43",5,3,50,50,5,2,0,0.25,10,-3.929,-3.929
"44",5,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"45",5,5,50,50,3,2,0,0.25,10,-3.929,-3.929
"46",5,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"47",5,7,50,50,0,0,0,0.25,10,-3.929,-3.929
"48",5,8,50,50,1,1,0,0.25,10,-3.929,-3.929
"49",5,9,50,50,1,1,0,0.25,10,-3.929,-3.929
"50",5,10,50,50,0,0,0,0.25,10,-3.929,-3.929
"51",6,1,50,50,3,4,0,0.25,10,-3.929,-3.929
"52",6,2,50,50,1,2,0,0.25,10,-3.929,-3.929
"53",6,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"54",6,4,50,50,2,3,0,0.25,10,-3.929,-3.929
"55",6,5,50,50,1,1,0,0.25,10,-3.929,-3.929
"56",6,6,50,50,3,4,0,0.25,10,-3.929,-3.929
"57",6,7,50,50,1,1,0,0.25,10,-3.929,-3.929
"58",6,8,50,50,0,0,1,0.25,10,-3.929,-3.929
"59",6,9,50,50,0,0,1,0.25,10,-3.929,-3.929
"60",6,10,50,50,11,3,0,0.25,10,-3.929,-3.929
"61",7,1,50,50,4,3,0,0.25,10,-3.929,-3.929
"62",7,2,50,50,2,2,0,0.25,10,-3.929,-3.929
"63",7,3,50,50,1,1,0,0.25,10,-3.929,-3.929
"64",7,4,50,50,3,2,0,0.25,10,-3.929,-3.929
"65",7,5,50,50,2,2,0,0.25,10,-3.929,-3.929
"66",7,6,50,50,0,0,0,0.25,10,-3.929,-3.929
"67",7,7,50,50,0,0,1,0.25,10,-3.929,-3.929
"68",7,8,50,50,2,3,0,0.25,10,-3.929,-3.929
"69",7,9,50,50,0,0,0,0.25,10,-3.929,-3.929
"70",7,10,50,50,0,0,1,0.25,10,-3.929,-3.929
"71",8,1,50,50,1,1,0,0.25,10,-3.929,-3.929
"72",8,2,50,50,0,0,0,0.25,10,-3.929,-3.929
"73",8,3,50,50,1,0,0,0.25,10,-3.929,-3.929
"74",8,4,50,50,0,1,0,0.25,10,-3.929,-3.929
"75",8,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"76",8,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"77",8,7,50,50,1,1,0,0.25,10,-3.929,-3.929
"78",8,8,50,50,9,4,0,0.25,10,-3.929,-3.929
"79",8,9,50,50,0,0,0,0.25,10,-3.929,-3.929
"80",8,10,50,50,1,2,0,0.25,10,-3.929,-3.929
"81",9,1,50,50,0,0,0,0.25,10,-3.929,-3.929
"82",9,2,50,50,6,3,0,0.25,10,-3.929,-3.929
"83",9,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"84",9,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"85",9,5,50,50,0,0,0,0.25,10,-3.929,-3.929
"86",9,6,50,50,2,1,0,0.25,10,-3.929,-3.929
"87",9,7,50,50,1,1,0,0.25,10,-3.929,-3.929
"88",9,8,50,50,1,1,0,0.25,10,-3.929,-3.929
"89",9,9,50,50,6,5,0,0.25,10,-3.929,-3.929
"90",9,10,50,50,2,2,0,0.25,10,-3.929,-3.929
"91",10,1,50,50,0,1,0,0.25,10,-3.929,-3.929
"92",10,2,50,50,2,2,0,0.25,10,-3.929,-3.929
"93",10,3,50,50,1,0,0,0.25,10,-3.929,-3.929
"94",10,4,50,50,1,0,0,0.25,10,-3.929,-3.929
"95",10,5,50,50,2,1,0,0.25,10,-3.929,-3.929
"96",10,6,50,50,2,1,0,0.25,10,-3.929,-3.929
"97",10,7,50,50,4,3,0,0.25,10,-3.929,-3.929
"98",10,8,50,50,0,0,1,0.25,10,-3.929,-3.929
"99",10,9,50,50,1,1,0,0.25,10,-3.929,-3.929
"100",10,10,50,50,1,1,0,0.25,10,-3.929,-3.929
"101",11,1,50,50,1,1,0,0.25,10,-3.929,-3.929
"102",11,2,50,50,1,2,0,0.25,10,-3.929,-3.929
"103",11,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"104",11,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"105",11,5,50,50,2,0,0,0.25,10,-3.929,-3.929
"106",11,6,50,50,0,2,0,0.25,10,-3.929,-3.929
"107",11,7,50,50,0,0,1,0.25,10,-3.929,-3.929
"108",11,8,50,50,1,1,0,0.25,10,-3.929,-3.929
"109",11,9,50,50,2,1,0,0.25,10,-3.929,-3.929
"110",11,10,50,50,0,0,0,0.25,10,-3.929,-3.929
"111",12,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"112",12,2,50,50,0,1,0,0.25,10,-3.929,-3.929
"113",12,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"114",12,4,50,50,0,1,0,0.25,10,-3.929,-3.929
"115",12,5,50,50,5,1,0,0.25,10,-3.929,-3.929
"116",12,6,50,50,1,2,0,0.25,10,-3.929,-3.929
"117",12,7,50,50,3,1,0,0.25,10,-3.929,-3.929
"118",12,8,50,50,3,2,0,0.25,10,-3.929,-3.929
"119",12,9,50,50,2,1,0,0.25,10,-3.929,-3.929
"120",12,10,50,50,0,0,1,0.25,10,-3.929,-3.929
"121",13,1,50,50,1,4,0,0.25,10,-3.929,-3.929
"122",13,2,50,50,1,0,0,0.25,10,-3.929,-3.929
"123",13,3,50,50,1,1,0,0.25,10,-3.929,-3.929
"124",13,4,50,50,2,2,0,0.25,10,-3.929,-3.929
"125",13,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"126",13,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"127",13,7,50,50,0,1,0,0.25,10,-3.929,-3.929
"128",13,8,50,50,1,1,0,0.25,10,-3.929,-3.929
"129",13,9,50,50,6,3,0,0.25,10,-3.929,-3.929
"130",13,10,50,50,0,0,0,0.25,10,-3.929,-3.929
"131",14,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"132",14,2,50,50,5,2,0,0.25,10,-3.929,-3.929
"133",14,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"134",14,4,50,50,2,8,0,0.25,10,-3.929,-3.929
"135",14,5,50,50,2,1,0,0.25,10,-3.929,-3.929
"136",14,6,50,50,0,1,0,0.25,10,-3.929,-3.929
"137",14,7,50,50,0,0,0,0.25,10,-3.929,-3.929
"138",14,8,50,50,1,3,0,0.25,10,-3.929,-3.929
"139",14,9,50,50,0,1,0,0.25,10,-3.929,-3.929
"140",14,10,50,50,1,0,0,0.25,10,-3.929,-3.929
"141",15,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"142",15,2,50,50,0,0,1,0.25,10,-3.929,-3.929
"143",15,3,50,50,1,1,0,0.25,10,-3.929,-3.929
"144",15,4,50,50,0,0,0,0.25,10,-3.929,-3.929
"145",15,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"146",15,6,50,50,0,0,0,0.25,10,-3.929,-3.929
"147",15,7,50,50,2,3,0,0.25,10,-3.929,-3.929
"148",15,8,50,50,1,1,0,0.25,10,-3.929,-3.929
"149",15,9,50,50,2,1,0,0.25,10,-3.929,-3.929
"150",15,10,50,50,0,0,1,0.25,10,-3.929,-3.929
"151",16,1,50,50,2,3,0,0.25,10,-3.929,-3.929
"152",16,2,50,50,1,2,0,0.25,10,-3.929,-3.929
"153",16,3,50,50,1,0,0,0.25,10,-3.929,-3.929
"154",16,4,50,50,1,3,0,0.25,10,-3.929,-3.929
"155",16,5,50,50,0,1,0,0.25,10,-3.929,-3.929
"156",16,6,50,50,1,0,0,0.25,10,-3.929,-3.929
"157",16,7,50,50,3,3,0,0.25,10,-3.929,-3.929
"158",16,8,50,50,0,0,0,0.25,10,-3.929,-3.929
"159",16,9,50,50,0,1,0,0.25,10,-3.929,-3.929
"160",16,10,50,50,1,4,0,0.25,10,-3.929,-3.929
"161",17,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"162",17,2,50,50,0,0,1,0.25,10,-3.929,-3.929
"163",17,3,50,50,2,3,0,0.25,10,-3.929,-3.929
"164",17,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"165",17,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"166",17,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"167",17,7,50,50,1,2,0,0.25,10,-3.929,-3.929
"168",17,8,50,50,1,0,0,0.25,10,-3.929,-3.929
"169",17,9,50,50,0,1,0,0.25,10,-3.929,-3.929
"170",17,10,50,50,1,1,0,0.25,10,-3.929,-3.929
"171",18,1,50,50,0,0,0,0.25,10,-3.929,-3.929
"172",18,2,50,50,0,0,1,0.25,10,-3.929,-3.929
"173",18,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"174",18,4,50,50,1,1,0,0.25,10,-3.929,-3.929
"175",18,5,50,50,1,2,0,0.25,10,-3.929,-3.929
"176",18,6,50,50,0,5,0,0.25,10,-3.929,-3.929
"177",18,7,50,50,0,0,1,0.25,10,-3.929,-3.929
"178",18,8,50,50,1,1,0,0.25,10,-3.929,-3.929
"179",18,9,50,50,0,0,1,0.25,10,-3.929,-3.929
"180",18,10,50,50,1,2,0,0.25,10,-3.929,-3.929
"181",19,1,50,50,3,1,0,0.25,10,-3.929,-3.929
"182",19,2,50,50,0,1,0,0.25,10,-3.929,-3.929
"183",19,3,50,50,1,1,0,0.25,10,-3.929,-3.929
"184",19,4,50,50,0,1,0,0.25,10,-3.929,-3.929
"185",19,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"186",19,6,50,50,1,2,0,0.25,10,-3.929,-3.929
"187",19,7,50,50,0,0,1,0.25,10,-3.929,-3.929
"188",19,8,50,50,1,0,0,0.25,10,-3.929,-3.929
"189",19,9,50,50,0,0,1,0.25,10,-3.929,-3.929
"190",19,10,50,50,1,1,0,0.25,10,-3.929,-3.929
"191",20,1,50,50,0,1,0,0.25,10,-3.929,-3.929
"192",20,2,50,50,1,1,0,0.25,10,-3.929,-3.929
"193",20,3,50,50,2,1,0,0.25,10,-3.929,-3.929
"194",20,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"195",20,5,50,50,1,1,0,0.25,10,-3.929,-3.929
"196",20,6,50,50,1,4,0,0.25,10,-3.929,-3.929
"197",20,7,50,50,2,2,0,0.25,10,-3.929,-3.929
"198",20,8,50,50,1,2,0,0.25,10,-3.929,-3.929
"199",20,9,50,50,0,0,1,0.25,10,-3.929,-3.929
"200",20,10,50,50,0,0,1,0.25,10,-3.929,-3.929
"201",21,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"202",21,2,50,50,0,1,0,0.25,10,-3.929,-3.929
"203",21,3,50,50,2,1,0,0.25,10,-3.929,-3.929
"204",21,4,50,50,19,7,0,0.25,10,-3.929,-3.929
"205",21,5,50,50,1,1,0,0.25,10,-3.929,-3.929
"206",21,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"207",21,7,50,50,1,0,0,0.25,10,-3.929,-3.929
"208",21,8,50,50,3,3,0,0.25,10,-3.929,-3.929
"209",21,9,50,50,1,1,0,0.25,10,-3.929,-3.929
"210",21,10,50,50,1,0,0,0.25,10,-3.929,-3.929
"211",22,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"212",22,2,50,50,0,4,0,0.25,10,-3.929,-3.929
"213",22,3,50,50,2,1,0,0.25,10,-3.929,-3.929
"214",22,4,50,50,1,1,0,0.25,10,-3.929,-3.929
"215",22,5,50,50,0,0,0,0.25,10,-3.929,-3.929
"216",22,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"217",22,7,50,50,0,0,0,0.25,10,-3.929,-3.929
"218",22,8,50,50,0,3,0,0.25,10,-3.929,-3.929
"219",22,9,50,50,2,0,0,0.25,10,-3.929,-3.929
"220",22,10,50,50,1,1,0,0.25,10,-3.929,-3.929
"221",23,1,50,50,2,1,0,0.25,10,-3.929,-3.929
"222",23,2,50,50,3,4,0,0.25,10,-3.929,-3.929
"223",23,3,50,50,0,0,0,0.25,10,-3.929,-3.929
"224",23,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"225",23,5,50,50,1,2,0,0.25,10,-3.929,-3.929
"226",23,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"227",23,7,50,50,0,0,1,0.25,10,-3.929,-3.929
"228",23,8,50,50,0,0,0,0.25,10,-3.929,-3.929
"229",23,9,50,50,5,2,0,0.25,10,-3.929,-3.929
"230",23,10,50,50,0,0,0,0.25,10,-3.929,-3.929
"231",24,1,50,50,0,0,0,0.25,10,-3.929,-3.929
"232",24,2,50,50,1,3,0,0.25,10,-3.929,-3.929
"233",24,3,50,50,0,0,0,0.25,10,-3.929,-3.929
"234",24,4,50,50,5,2,0,0.25,10,-3.929,-3.929
"235",24,5,50,50,4,6,0,0.25,10,-3.929,-3.929
"236",24,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"237",24,7,50,50,0,0,0,0.25,10,-3.929,-3.929
"238",24,8,50,50,2,2,0,0.25,10,-3.929,-3.929
"239",24,9,50,50,0,0,0,0.25,10,-3.929,-3.929
"240",24,10,50,50,1,3,0,0.25,10,-3.929,-3.929
"241",25,1,50,50,1,3,0,0.25,10,-3.929,-3.929
"242",25,2,50,50,1,2,0,0.25,10,-3.929,-3.929
"243",25,3,50,50,4,2,0,0.25,10,-3.929,-3.929
"244",25,4,50,50,1,2,0,0.25,10,-3.929,-3.929
"245",25,5,50,50,0,1,0,0.25,10,-3.929,-3.929
"246",25,6,50,50,1,0,0,0.25,10,-3.929,-3.929
"247",25,7,50,50,1,3,0,0.25,10,-3.929,-3.929
"248",25,8,50,50,3,2,0,0.25,10,-3.929,-3.929
"249",25,9,50,50,1,1,0,0.25,10,-3.929,-3.929
"250",25,10,50,50,0,3,0,0.25,10,-3.929,-3.929
"251",26,1,50,50,5,1,0,0.25,10,-3.929,-3.929
"252",26,2,50,50,1,2,0,0.25,10,-3.929,-3.929
"253",26,3,50,50,1,1,0,0.25,10,-3.929,-3.929
"254",26,4,50,50,1,5,0,0.25,10,-3.929,-3.929
"255",26,5,50,50,7,3,0,0.25,10,-3.929,-3.929
"256",26,6,50,50,1,0,0,0.25,10,-3.929,-3.929
"257",26,7,50,50,0,0,1,0.25,10,-3.929,-3.929
"258",26,8,50,50,0,2,0,0.25,10,-3.929,-3.929
"259",26,9,50,50,2,2,0,0.25,10,-3.929,-3.929
"260",26,10,50,50,8,3,0,0.25,10,-3.929,-3.929
"261",27,1,50,50,1,1,0,0.25,10,-3.929,-3.929
"262",27,2,50,50,1,0,0,0.25,10,-3.929,-3.929
"263",27,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"264",27,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"265",27,5,50,50,0,1,0,0.25,10,-3.929,-3.929
"266",27,6,50,50,1,1,0,0.25,10,-3.929,-3.929
"267",27,7,50,50,0,0,0,0.25,10,-3.929,-3.929
"268",27,8,50,50,2,0,0,0.25,10,-3.929,-3.929
"269",27,9,50,50,1,0,0,0.25,10,-3.929,-3.929
"270",27,10,50,50,0,1,0,0.25,10,-3.929,-3.929
"271",28,1,50,50,1,1,0,0.25,10,-3.929,-3.929
"272",28,2,50,50,0,0,1,0.25,10,-3.929,-3.929
"273",28,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"274",28,4,50,50,0,0,0,0.25,10,-3.929,-3.929
"275",28,5,50,50,1,4,0,0.25,10,-3.929,-3.929
"276",28,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"277",28,7,50,50,0,0,1,0.25,10,-3.929,-3.929
"278",28,8,50,50,1,1,0,0.25,10,-3.929,-3.929
"279",28,9,50,50,2,1,0,0.25,10,-3.929,-3.929
"280",28,10,50,50,0,1,0,0.25,10,-3.929,-3.929
"281",29,1,50,50,1,3,0,0.25,10,-3.929,-3.929
"282",29,2,50,50,0,1,0,0.25,10,-3.929,-3.929
"283",29,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"284",29,4,50,50,1,1,0,0.25,10,-3.929,-3.929
"285",29,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"286",29,6,50,50,0,1,0,0.25,10,-3.929,-3.929
"287",29,7,50,50,0,0,0,0.25,10,-3.929,-3.929
"288",29,8,50,50,0,0,0,0.25,10,-3.929,-3.929
"289",29,9,50,50,4,1,0,0.25,10,-3.929,-3.929
"290",29,10,50,50,7,1,0,0.25,10,-3.929,-3.929
"291",30,1,50,50,1,2,0,0.25,10,-3.929,-3.929
"292",30,2,50,50,2,0,0,0.25,10,-3.929,-3.929
"293",30,3,50,50,1,1,0,0.25,10,-3.929,-3.929
"294",30,4,50,50,1,0,0,0.25,10,-3.929,-3.929
"295",30,5,50,50,1,1,0,0.25,10,-3.929,-3.929
"296",30,6,50,50,1,3,0,0.25,10,-3.929,-3.929
"297",30,7,50,50,2,1,0,0.25,10,-3.929,-3.929
"298",30,8,50,50,2,1,0,0.25,10,-3.929,-3.929
"299",30,9,50,50,2,1,0,0.25,10,-3.929,-3.929
"300",30,10,50,50,1,2,0,0.25,10,-3.929,-3.929
"301",31,1,50,50,0,0,0,0.25,10,-3.929,-3.929
"302",31,2,50,50,0,0,0,0.25,10,-3.929,-3.929
"303",31,3,50,50,9,6,0,0.25,10,-3.929,-3.929
"304",31,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"305",31,5,50,50,5,14,0,0.25,10,-3.929,-3.929
"306",31,6,50,50,1,1,0,0.25,10,-3.929,-3.929
"307",31,7,50,50,2,1,0,0.25,10,-3.929,-3.929
"308",31,8,50,50,5,2,0,0.25,10,-3.929,-3.929
"309",31,9,50,50,0,0,0,0.25,10,-3.929,-3.929
"310",31,10,50,50,1,0,0,0.25,10,-3.929,-3.929
"311",32,1,50,50,0,0,0,0.25,10,-3.929,-3.929
"312",32,2,50,50,4,1,0,0.25,10,-3.929,-3.929
"313",32,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"314",32,4,50,50,2,3,0,0.25,10,-3.929,-3.929
"315",32,5,50,50,0,0,0,0.25,10,-3.929,-3.929
"316",32,6,50,50,1,2,0,0.25,10,-3.929,-3.929
"317",32,7,50,50,3,2,0,0.25,10,-3.929,-3.929
"318",32,8,50,50,1,1,0,0.25,10,-3.929,-3.929
"319",32,9,50,50,1,0,0,0.25,10,-3.929,-3.929
"320",32,10,50,50,2,2,0,0.25,10,-3.929,-3.929
"321",33,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"322",33,2,50,50,0,0,1,0.25,10,-3.929,-3.929
"323",33,3,50,50,3,1,0,0.25,10,-3.929,-3.929
"324",33,4,50,50,0,1,0,0.25,10,-3.929,-3.929
"325",33,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"326",33,6,50,50,1,1,0,0.25,10,-3.929,-3.929
"327",33,7,50,50,0,0,1,0.25,10,-3.929,-3.929
"328",33,8,50,50,0,0,0,0.25,10,-3.929,-3.929
"329",33,9,50,50,5,0,0,0.25,10,-3.929,-3.929
"330",33,10,50,50,2,1,0,0.25,10,-3.929,-3.929
"331",34,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"332",34,2,50,50,3,1,0,0.25,10,-3.929,-3.929
"333",34,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"334",34,4,50,50,0,0,0,0.25,10,-3.929,-3.929
"335",34,5,50,50,2,1,0,0.25,10,-3.929,-3.929
"336",34,6,50,50,1,0,0,0.25,10,-3.929,-3.929
"337",34,7,50,50,1,0,0,0.25,10,-3.929,-3.929
"338",34,8,50,50,0,0,1,0.25,10,-3.929,-3.929
"339",34,9,50,50,1,0,0,0.25,10,-3.929,-3.929
"340",34,10,50,50,4,12,0,0.25,10,-3.929,-3.929
"341",35,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"342",35,2,50,50,0,0,1,0.25,10,-3.929,-3.929
"343",35,3,50,50,1,1,0,0.25,10,-3.929,-3.929
"344",35,4,50,50,0,0,1,0.25,10,-3.929,-3.929
"345",35,5,50,50,0,2,0,0.25,10,-3.929,-3.929
"346",35,6,50,50,1,1,0,0.25,10,-3.929,-3.929
"347",35,7,50,50,2,2,0,0.25,10,-3.929,-3.929
"348",35,8,50,50,8,3,0,0.25,10,-3.929,-3.929
"349",35,9,50,50,1,1,0,0.25,10,-3.929,-3.929
"350",35,10,50,50,3,1,0,0.25,10,-3.929,-3.929
"351",36,1,50,50,1,0,0,0.25,10,-3.929,-3.929
"352",36,2,50,50,0,0,0,0.25,10,-3.929,-3.929
"353",36,3,50,50,1,0,0,0.25,10,-3.929,-3.929
"354",36,4,50,50,0,0,0,0.25,10,-3.929,-3.929
"355",36,5,50,50,1,1,0,0.25,10,-3.929,-3.929
"356",36,6,50,50,1,1,0,0.25,10,-3.929,-3.929
"357",36,7,50,50,0,0,1,0.25,10,-3.929,-3.929
"358",36,8,50,50,0,0,0,0.25,10,-3.929,-3.929
"359",36,9,50,50,0,0,0,0.25,10,-3.929,-3.929
"360",36,10,50,50,2,2,0,0.25,10,-3.929,-3.929
"361",37,1,50,50,1,1,0,0.25,10,-3.929,-3.929
"362",37,2,50,50,0,0,1,0.25,10,-3.929,-3.929
"363",37,3,50,50,1,0,0,0.25,10,-3.929,-3.929
"364",37,4,50,50,1,0,0,0.25,10,-3.929,-3.929
"365",37,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"366",37,6,50,50,2,6,0,0.25,10,-3.929,-3.929
"367",37,7,50,50,2,1,0,0.25,10,-3.929,-3.929
"368",37,8,50,50,0,0,0,0.25,10,-3.929,-3.929
"369",37,9,50,50,1,1,0,0.25,10,-3.929,-3.929
"370",37,10,50,50,0,0,1,0.25,10,-3.929,-3.929
"371",38,1,50,50,1,1,0,0.25,10,-3.929,-3.929
"372",38,2,50,50,2,3,0,0.25,10,-3.929,-3.929
"373",38,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"374",38,4,50,50,2,0,0,0.25,10,-3.929,-3.929
"375",38,5,50,50,2,0,0,0.25,10,-3.929,-3.929
"376",38,6,50,50,1,1,0,0.25,10,-3.929,-3.929
"377",38,7,50,50,1,1,0,0.25,10,-3.929,-3.929
"378",38,8,50,50,0,0,0,0.25,10,-3.929,-3.929
"379",38,9,50,50,0,0,1,0.25,10,-3.929,-3.929
"380",38,10,50,50,1,3,0,0.25,10,-3.929,-3.929
"381",39,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"382",39,2,50,50,2,0,0,0.25,10,-3.929,-3.929
"383",39,3,50,50,1,2,0,0.25,10,-3.929,-3.929
"384",39,4,50,50,1,2,0,0.25,10,-3.929,-3.929
"385",39,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"386",39,6,50,50,1,0,0,0.25,10,-3.929,-3.929
"387",39,7,50,50,0,0,1,0.25,10,-3.929,-3.929
"388",39,8,50,50,0,0,1,0.25,10,-3.929,-3.929
"389",39,9,50,50,0,0,1,0.25,10,-3.929,-3.929
"390",39,10,50,50,0,0,1,0.25,10,-3.929,-3.929
"391",40,1,50,50,0,0,1,0.25,10,-3.929,-3.929
"392",40,2,50,50,0,0,0,0.25,10,-3.929,-3.929
"393",40,3,50,50,0,0,1,0.25,10,-3.929,-3.929
"394",40,4,50,50,1,2,0,0.25,10,-3.929,-3.929
"395",40,5,50,50,0,0,1,0.25,10,-3.929,-3.929
"396",40,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"397",40,7,50,50,0,1,0,0.25,10,-3.929,-3.929
"398",40,8,50,50,12,9,0,0.25,10,-3.929,-3.929
"399",40,9,50,50,0,0,1,0.25,10,-3.929,-3.929
"400",40,10,50,50,2,1,0,0.25,10,-3.929,-3.929
"401",41,1,50,50,2,2,0,0.25,10,-3.929,-3.929
"402",41,2,50,50,0,0,0,0.25,10,-3.929,-3.929
"403",41,3,50,50,4,4,0,0.25,10,-3.929,-3.929
"404",41,4,50,50,0,1,0,0.25,10,-3.929,-3.929
"405",41,5,50,50,1,0,0,0.25,10,-3.929,-3.929
"406",41,6,50,50,2,4,0,0.25,10,-3.929,-3.929
"407",41,7,50,50,2,0,0,0.25,10,-3.929,-3.929
"408",41,8,50,50,0,0,1,0.25,10,-3.929,-3.929
"409",41,9,50,50,0,0,1,0.25,10,-3.929,-3.929
"410",41,10,50,50,2,1,0,0.25,10,-3.929,-3.929
"411",42,1,50,50,1,0,0,0.25,10,-3.929,-3.929
"412",42,2,50,50,1,1,0,0.25,10,-3.929,-3.929
"413",42,3,50,50,0,0,0,0.25,10,-3.929,-3.929
"414",42,4,50,50,1,0,0,0.25,10,-3.929,-3.929
"415",42,5,50,50,0,0,0,0.25,10,-3.929,-3.929
"416",42,6,50,50,0,0,1,0.25,10,-3.929,-3.929
"417",42,7,50,50,0,0,0,0.25,10,-3.929,-3.929
"418",42,8,50,50,1,2,0,0.25,10,-3.929,-3.929
"419",42,9,50,50,0,0,1,0.25,10,-3.929,-3.929
"420",42,10,50,50,0,0,1,0.25,10,-3.929,-3.929
"421",43,1,50,50,0,0,1,0.25,10,-3.929,-3.929
