metaanalysisid,Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
2328,Zero-Inflation Proportion pi,1.344E-7,,1000,,,0.05,,
2328,logRR,1.4893,0.5449,1000,2.73,0.0064,0.05,0.4201,2.5585
2328,RR,4.4341,2.4160,1000,1.84,0.0668,0.05,-0.3068,9.1751
2342,Zero-Inflation Proportion pi,0.000363,,1000,,,0.05,,
2342,logRR,-0.2580,,1000,,,0.05,,
2342,RR,0.7726,,1000,,,0.05,,
2343,Zero-Inflation Proportion pi,6.6E-6,,1000,,,0.05,,
2343,logRR,2.9364,0.9496,1000,3.09,0.0020,0.05,1.0730,4.7997
2343,RR,18.8472,17.8966,1000,1.05,0.2925,0.05,-16.2719,53.9663
2370,Zero-Inflation Proportion pi,0.000667,,1000,,,0.05,,
2370,logRR,1.0768,0.9160,1000,1.18,0.2401,0.05,-0.7208,2.8744
2370,RR,2.9352,2.6888,1000,1.09,0.2753,0.05,-2.3411,8.2115
2467,Zero-Inflation Proportion pi,0.3759,0.1364,1000,2.76,0.0060,0.05,0.1082,0.6436
2467,logRR,-0.1305,0.2421,1000,-0.54,0.5899,0.05,-0.6055,0.3445
2467,RR,0.8777,0.2125,1000,4.13,<.0001,0.05,0.4608,1.2946
2470,Zero-Inflation Proportion pi,0.1090,0.09712,1000,1.12,0.2622,0.05,-0.08163,0.2995
2470,logRR,0.4279,0.2178,1000,1.96,0.0498,0.05,0.000436,0.8553
2470,RR,1.5340,0.3341,1000,4.59,<.0001,0.05,0.8783,2.1896
2479,Zero-Inflation Proportion pi,0.3759,0.1364,1000,2.76,0.0060,0.05,0.1082,0.6436
2479,logRR,-0.1305,0.2421,1000,-0.54,0.5899,0.05,-0.6055,0.3445
2479,RR,0.8777,0.2125,1000,4.13,<.0001,0.05,0.4608,1.2946
3023,Zero-Inflation Proportion pi,0.000013,0.001142,1000,0.01,0.9912,0.05,-0.00223,0.002254
3023,logRR,-0.09280,0.1670,1000,-0.56,0.5787,0.05,-0.4206,0.2350
3023,RR,0.9114,0.1522,1000,5.99,<.0001,0.05,0.6126,1.2101
3223,Zero-Inflation Proportion pi,9.717E-6,,1000,,,0.05,,
3223,logRR,-0.02061,0.1548,1000,-0.13,0.8941,0.05,-0.3243,0.2831
3223,RR,0.9796,0.1516,1000,6.46,<.0001,0.05,0.6821,1.2771
3596,Zero-Inflation Proportion pi,6.886E-6,0.000354,1000,0.02,0.9845,0.05,-0.00069,0.000701
3596,logRR,1.5587,0.2280,1000,6.84,<.0001,0.05,1.1112,2.0061
3596,RR,4.7524,1.0837,1000,4.39,<.0001,0.05,2.6259,6.8790
3614,Zero-Inflation Proportion pi,0.09412,,1000,,,0.05,,
3614,logRR,0.8132,,1000,,,0.05,,
3614,RR,2.2551,,1000,,,0.05,,
3809,Zero-Inflation Proportion pi,0.1999,0.1269,1000,1.57,0.1156,0.05,-0.04916,0.4490
3809,logRR,-0.1139,0.2382,1000,-0.48,0.6326,0.05,-0.5814,0.3536
3809,RR,0.8923,0.2126,1000,4.20,<.0001,0.05,0.4752,1.3095
3959,Zero-Inflation Proportion pi,0.2039,0.1352,1000,1.51,0.1319,0.05,-0.06143,0.4693
3959,logRR,0.08439,0.3138,1000,0.27,0.7880,0.05,-0.5313,0.7001
3959,RR,1.0881,0.3414,1000,3.19,0.0015,0.05,0.4181,1.7580
4004,Zero-Inflation Proportion pi,0.07475,,1000,,,0.05,,
4004,logRR,-0.2253,,1000,,,0.05,,
4004,RR,0.7983,,1000,,,0.05,,
4151,Zero-Inflation Proportion pi,0.000073,0.007105,1000,0.01,0.9918,0.05,-0.01387,0.01402
4151,logRR,0.8204,0.3820,1000,2.15,0.0320,0.05,0.07078,1.5700
4151,RR,2.2714,0.8677,1000,2.62,0.0090,0.05,0.5687,3.9741
4154,Zero-Inflation Proportion pi,1.04E-6,0.000552,1000,0.00,0.9985,0.05,-0.00108,0.001084
4154,logRR,0.7787,0.3761,1000,2.07,0.0387,0.05,0.04069,1.5168
4154,RR,2.1787,0.8194,1000,2.66,0.0080,0.05,0.5707,3.7867
4586,Zero-Inflation Proportion pi,0.1963,0.08886,1000,2.21,0.0274,0.05,0.02189,0.3706
4586,logRR,0.1470,0.07847,1000,1.87,0.0613,0.05,-0.00697,0.3010
4586,RR,1.1584,0.09089,1000,12.74,<.0001,0.05,0.9800,1.3367
4994,Zero-Inflation Proportion pi,0.000019,,1000,,,0.05,,
4994,logRR,-0.3727,,1000,,,0.05,,
4994,RR,0.6889,,1000,,,0.05,,
5654,Zero-Inflation Proportion pi,0.1646,0.1790,1000,0.92,0.3581,0.05,-0.1867,0.5160
5654,logRR,0.7619,0.3765,1000,2.02,0.0433,0.05,0.02295,1.5008
5654,RR,2.1423,0.8067,1000,2.66,0.0080,0.05,0.5593,3.7252
5805,Zero-Inflation Proportion pi,0.2513,,1000,,,0.05,,
5805,logRR,-0.5858,,1000,,,0.05,,
5805,RR,0.5566,,1000,,,0.05,,
5823,Zero-Inflation Proportion pi,8.78E-11,,1000,,,0.05,,
5823,logRR,-0.06349,0.2508,1000,-0.25,0.8002,0.05,-0.5556,0.4286
5823,RR,0.9385,0.2353,1000,3.99,<.0001,0.05,0.4767,1.4003
6094,Zero-Inflation Proportion pi,0.04819,0.08051,1000,0.60,0.5496,0.05,-0.1098,0.2062
6094,logRR,-2.3432,1.2571,1000,-1.86,0.0626,0.05,-4.8100,0.1236
6094,RR,0.09602,0.1207,1000,0.80,0.4265,0.05,-0.1408,0.3329
6265,Zero-Inflation Proportion pi,0.1994,0.1532,1000,1.30,0.1933,0.05,-0.1012,0.5000
6265,logRR,1.9557,0.7044,1000,2.78,0.0056,0.05,0.5733,3.3381
6265,RR,7.0689,4.9797,1000,1.42,0.1560,0.05,-2.7029,16.8407
6517,Zero-Inflation Proportion pi,0.2224,0.1337,1000,1.66,0.0966,0.05,-0.04000,0.4848
6517,logRR,2.3503,,1000,,,0.05,,
6517,RR,10.4890,,1000,,,0.05,,
6592,Zero-Inflation Proportion pi,0.02821,,1000,,,0.05,,
6592,logRR,1.7120,,1000,,,0.05,,
6592,RR,5.5399,,1000,,,0.05,,
6640,Zero-Inflation Proportion pi,1.234E-6,,1000,,,0.05,,
6640,logRR,-1.1469,1.3616,1000,-0.84,0.3998,0.05,-3.8189,1.5251
6640,RR,0.3176,0.4325,1000,0.73,0.4629,0.05,-0.5311,1.1663
6660,Zero-Inflation Proportion pi,0.2187,0.1075,1000,2.04,0.0421,0.05,0.007840,0.4296
6660,logRR,0.2957,0.1927,1000,1.53,0.1252,0.05,-0.08242,0.6738
6660,RR,1.3441,0.2590,1000,5.19,<.0001,0.05,0.8358,1.8523
6694,Zero-Inflation Proportion pi,0.01305,0.05227,1000,0.25,0.8029,0.05,-0.08952,0.1156
6694,logRR,-2.9495,1.2334,1000,-2.39,0.0170,0.05,-5.3698,-0.5293
6694,RR,0.05236,0.06458,1000,0.81,0.4177,0.05,-0.07437,0.1791
6868,Zero-Inflation Proportion pi,0.000019,0.002615,1000,0.01,0.9941,0.05,-0.00511,0.005151
6868,logRR,-0.7890,0.2926,1000,-2.70,0.0071,0.05,-1.3632,-0.2148
6868,RR,0.4543,0.1329,1000,3.42,0.0007,0.05,0.1934,0.7151
6889,Zero-Inflation Proportion pi,0.000021,0.002219,1000,0.01,0.9925,0.05,-0.00433,0.004375
6889,logRR,-0.5611,0.3674,1000,-1.53,0.1270,0.05,-1.2821,0.1599
6889,RR,0.5706,0.2096,1000,2.72,0.0066,0.05,0.1592,0.9820
6892,Zero-Inflation Proportion pi,0.000176,,1000,,,0.05,,
6892,logRR,-0.1239,,1000,,,0.05,,
6892,RR,0.8835,,1000,,,0.05,,
6916,Zero-Inflation Proportion pi,0.2674,0.1120,1000,2.39,0.0171,0.05,0.04764,0.4872
6916,logRR,-0.03124,0.1207,1000,-0.26,0.7958,0.05,-0.2681,0.2056
6916,RR,0.9692,0.1170,1000,8.28,<.0001,0.05,0.7397,1.1988
6955,Zero-Inflation Proportion pi,0.09018,0.05321,1000,1.69,0.0904,0.05,-0.01423,0.1946
6955,logRR,-0.6365,0.1387,1000,-4.59,<.0001,0.05,-0.9087,-0.3643
6955,RR,0.5291,0.07340,1000,7.21,<.0001,0.05,0.3851,0.6732
6979,Zero-Inflation Proportion pi,0.1088,0.09820,1000,1.11,0.2684,0.05,-0.08395,0.3015
6979,logRR,-0.4772,0.2028,1000,-2.35,0.0188,0.05,-0.8751,-0.07923
6979,RR,0.6205,0.1258,1000,4.93,<.0001,0.05,0.3736,0.8675
6981,Zero-Inflation Proportion pi,0.2154,0.07807,1000,2.76,0.0059,0.05,0.06219,0.3686
6981,logRR,-0.2412,0.2351,1000,-1.03,0.3052,0.05,-0.7026,0.2202
6981,RR,0.7857,0.1847,1000,4.25,<.0001,0.05,0.4232,1.1482
6985,Zero-Inflation Proportion pi,0.2176,0.1186,1000,1.83,0.0669,0.05,-0.01519,0.4504
6985,logRR,-0.9394,0.2365,1000,-3.97,<.0001,0.05,-1.4035,-0.4752
6985,RR,0.3909,0.09245,1000,4.23,<.0001,0.05,0.2095,0.5723
6988,Zero-Inflation Proportion pi,0.05252,3.811E-6,1000,13779.9,<.0001,0.05,0.05251,0.05253
6988,logRR,-0.03073,0.000139,1000,-221.62,<.0001,0.05,-0.03100,-0.03046
6988,RR,0.9697,0.000134,1000,7211.52,<.0001,0.05,0.9695,0.9700
6991,Zero-Inflation Proportion pi,1.535E-6,,1000,,,0.05,,
6991,logRR,-0.3010,0.1916,1000,-1.57,0.1165,0.05,-0.6769,0.07493
6991,RR,0.7401,0.1418,1000,5.22,<.0001,0.05,0.4619,1.0183
6994,Zero-Inflation Proportion pi,0.08941,0.1244,1000,0.72,0.4725,0.05,-0.1547,0.3335
6994,logRR,-0.5583,0.2083,1000,-2.68,0.0075,0.05,-0.9671,-0.1495
6994,RR,0.5722,0.1192,1000,4.80,<.0001,0.05,0.3383,0.8061
7000,Zero-Inflation Proportion pi,0.1633,0.1098,1000,1.49,0.1372,0.05,-0.05211,0.3787
7000,logRR,-0.05044,0.08177,1000,-0.62,0.5375,0.05,-0.2109,0.1100
7000,RR,0.9508,0.07775,1000,12.23,<.0001,0.05,0.7982,1.1034
7123,Zero-Inflation Proportion pi,0.000041,,1000,,,0.05,,
7123,logRR,-0.3566,,1000,,,0.05,,
7123,RR,0.7001,,1000,,,0.05,,
7144,Zero-Inflation Proportion pi,0.000557,0.01063,1000,0.05,0.9582,0.05,-0.02030,0.02141
7144,logRR,-0.00670,0.07445,1000,-0.09,0.9283,0.05,-0.1528,0.1394
7144,RR,0.9933,0.07395,1000,13.43,<.0001,0.05,0.8482,1.1384
7360,Zero-Inflation Proportion pi,0.2911,0.08581,1000,3.39,0.0007,0.05,0.1227,0.4595
7360,logRR,-0.4276,0.2177,1000,-1.96,0.0497,0.05,-0.8548,-0.00047
7360,RR,0.6520,0.1419,1000,4.59,<.0001,0.05,0.3735,0.9306
7384,Zero-Inflation Proportion pi,0.2483,,1000,,,0.05,,
7384,logRR,-0.00107,,1000,,,0.05,,
7384,RR,0.9989,,1000,,,0.05,,
7387,Zero-Inflation Proportion pi,0.2082,0.08291,1000,2.51,0.0122,0.05,0.04553,0.3709
7387,logRR,0.2900,0.08472,1000,3.42,0.0006,0.05,0.1237,0.4562
7387,RR,1.3364,0.1132,1000,11.80,<.0001,0.05,1.1142,1.5585
7399,Zero-Inflation Proportion pi,0.3570,0.1281,1000,2.79,0.0054,0.05,0.1056,0.6083
7399,logRR,0.4146,0.1317,1000,3.15,0.0017,0.05,0.1562,0.6730
7399,RR,1.5138,0.1993,1000,7.59,<.0001,0.05,1.1226,1.9050
7405,Zero-Inflation Proportion pi,0.1690,,1000,,,0.05,,
7405,logRR,0.1103,,1000,,,0.05,,
7405,RR,1.1166,,1000,,,0.05,,
7636,Zero-Inflation Proportion pi,8.701E-6,0.000312,1000,0.03,0.9778,0.05,-0.00060,0.000621
7636,logRR,-0.1669,0.2173,1000,-0.77,0.4426,0.05,-0.5932,0.2594
7636,RR,0.8463,0.1839,1000,4.60,<.0001,0.05,0.4855,1.2071
7864,Zero-Inflation Proportion pi,0.2711,0.1335,1000,2.03,0.0425,0.05,0.009253,0.5330
7864,logRR,0.2063,0.1189,1000,1.74,0.0830,0.05,-0.02700,0.4396
7864,RR,1.2291,0.1461,1000,8.41,<.0001,0.05,0.9424,1.5159
7868,Zero-Inflation Proportion pi,0.1317,0.1281,1000,1.03,0.3039,0.05,-0.1196,0.3830
7868,logRR,-0.3638,0.1797,1000,-2.02,0.0432,0.05,-0.7164,-0.01115
7868,RR,0.6950,0.1249,1000,5.56,<.0001,0.05,0.4499,0.9401
7872,Zero-Inflation Proportion pi,0.1248,,1000,,,0.05,,
7872,logRR,-0.3054,0.000556,1000,-549.66,<.0001,0.05,-0.3065,-0.3043
7872,RR,0.7368,0.000409,1000,1799.74,<.0001,0.05,0.7360,0.7376
7953,Zero-Inflation Proportion pi,0.05148,,1000,,,0.05,,
7953,logRR,-0.1039,,1000,,,0.05,,
7953,RR,0.9013,,1000,,,0.05,,
8124,Zero-Inflation Proportion pi,0.2770,,1000,,,0.05,,
8124,logRR,-1.5993,,1000,,,0.05,,
8124,RR,0.2020,,1000,,,0.05,,
8126,Zero-Inflation Proportion pi,0.1556,1.593E-6,1000,97673.4,<.0001,0.05,0.1556,0.1556
8126,logRR,-0.9621,0.000011,1000,-84269,<.0001,0.05,-0.9621,-0.9621
8126,RR,0.3821,4.362E-6,1000,87586.0,<.0001,0.05,0.3821,0.3821
8202,Zero-Inflation Proportion pi,0.000035,,1000,,,0.05,,
8202,logRR,-0.09138,,1000,,,0.05,,
8202,RR,0.9127,,1000,,,0.05,,
8933,Zero-Inflation Proportion pi,0.1073,,1000,,,0.05,,
8933,logRR,-0.04192,,1000,,,0.05,,
8933,RR,0.9589,,1000,,,0.05,,
9114,Zero-Inflation Proportion pi,0.1258,,1000,,,0.05,,
9114,logRR,-0.1612,,1000,,,0.05,,
9114,RR,0.8511,,1000,,,0.05,,
9130,Zero-Inflation Proportion pi,0.07074,,1000,,,0.05,,
9130,logRR,0.09842,,1000,,,0.05,,
9130,RR,1.1034,,1000,,,0.05,,
9650,Zero-Inflation Proportion pi,0.3694,0.09319,1000,3.96,<.0001,0.05,0.1865,0.5522
9650,logRR,0.3350,0.1117,1000,3.00,0.0028,0.05,0.1157,0.5543
9650,RR,1.3979,0.1562,1000,8.95,<.0001,0.05,1.0914,1.7045
9656,Zero-Inflation Proportion pi,0.1191,0.1158,1000,1.03,0.3037,0.05,-0.1080,0.3463
9656,logRR,0.4577,0.2283,1000,2.01,0.0452,0.05,0.009757,0.9057
9656,RR,1.5805,0.3608,1000,4.38,<.0001,0.05,0.8725,2.2884
9668,Zero-Inflation Proportion pi,0.3298,1.711E-6,1000,192812,<.0001,0.05,0.3298,0.3298
9668,logRR,0.4933,0.000011,1000,45011.6,<.0001,0.05,0.4933,0.4933
9668,RR,1.6377,0.000018,1000,91248.9,<.0001,0.05,1.6376,1.6377
9670,Zero-Inflation Proportion pi,0.3153,0.1081,1000,2.92,0.0036,0.05,0.1033,0.5274
9670,logRR,0.1909,0.05743,1000,3.32,0.0009,0.05,0.07816,0.3036
9670,RR,1.2103,0.06951,1000,17.41,<.0001,0.05,1.0739,1.3467
9672,Zero-Inflation Proportion pi,0.3344,,1000,,,0.05,,
9672,logRR,0.1724,,1000,,,0.05,,
9672,RR,1.1882,,1000,,,0.05,,
10112,Zero-Inflation Proportion pi,0.000172,,1000,,,0.05,,
10112,logRR,-0.01375,,1000,,,0.05,,
10112,RR,0.9863,,1000,,,0.05,,
10116,Zero-Inflation Proportion pi,0.000100,0.003028,1000,0.03,0.9737,0.05,-0.00584,0.006042
10116,logRR,-0.04013,0.2581,1000,-0.16,0.8765,0.05,-0.5465,0.4663
10116,RR,0.9607,0.2479,1000,3.87,0.0001,0.05,0.4742,1.4472
10118,Zero-Inflation Proportion pi,0.1672,,1000,,,0.05,,
10118,logRR,-0.1080,,1000,,,0.05,,
10118,RR,0.8977,,1000,,,0.05,,
10128,Zero-Inflation Proportion pi,0.2198,,1000,,,0.05,,
10128,logRR,-0.02652,,1000,,,0.05,,
10128,RR,0.9738,,1000,,,0.05,,
10134,Zero-Inflation Proportion pi,0.2410,0.1233,1000,1.95,0.0510,0.05,-0.00102,0.4829
10134,logRR,0.02082,0.1667,1000,0.12,0.9006,0.05,-0.3063,0.3479
10134,RR,1.0210,0.1702,1000,6.00,<.0001,0.05,0.6871,1.3550
10146,Zero-Inflation Proportion pi,0.1779,0.1633,1000,1.09,0.2762,0.05,-0.1425,0.4984
10146,logRR,0.3526,0.2910,1000,1.21,0.2259,0.05,-0.2184,0.9236
10146,RR,1.4228,0.4140,1000,3.44,0.0006,0.05,0.6104,2.2352
10148,Zero-Inflation Proportion pi,0.1675,0.1263,1000,1.33,0.1849,0.05,-0.08028,0.4153
10148,logRR,-0.1170,0.2218,1000,-0.53,0.5980,0.05,-0.5522,0.3183
10148,RR,0.8896,0.1973,1000,4.51,<.0001,0.05,0.5024,1.2768
10174,Zero-Inflation Proportion pi,0.2243,,1000,,,0.05,,
10174,logRR,-0.09147,,1000,,,0.05,,
10174,RR,0.9126,,1000,,,0.05,,
10180,Zero-Inflation Proportion pi,0.2005,,1000,,,0.05,,
10180,logRR,-0.00993,0.001526,1000,-6.51,<.0001,0.05,-0.01293,-0.00694
10180,RR,0.9901,0.001511,1000,655.14,<.0001,0.05,0.9871,0.9931
10182,Zero-Inflation Proportion pi,0.2256,0.1217,1000,1.85,0.0640,0.05,-0.01315,0.4643
10182,logRR,-0.1352,0.1387,1000,-0.97,0.3299,0.05,-0.4073,0.1370
10182,RR,0.8736,0.1211,1000,7.21,<.0001,0.05,0.6358,1.1113
10184,Zero-Inflation Proportion pi,0.2234,0.1252,1000,1.78,0.0746,0.05,-0.02225,0.4691
10184,logRR,-0.2246,0.1615,1000,-1.39,0.1647,0.05,-0.5416,0.09240
10184,RR,0.7988,0.1290,1000,6.19,<.0001,0.05,0.5456,1.0521
10270,Zero-Inflation Proportion pi,0.1576,0.08480,1000,1.86,0.0633,0.05,-0.00877,0.3241
10270,logRR,-0.01199,0.05309,1000,-0.23,0.8214,0.05,-0.1162,0.09220
10270,RR,0.9881,0.05246,1000,18.84,<.0001,0.05,0.8851,1.0910
10500,Zero-Inflation Proportion pi,0.000011,,1000,,,0.05,,
10500,logRR,0.005856,,1000,,,0.05,,
10500,RR,1.0059,,1000,,,0.05,,
10508,Zero-Inflation Proportion pi,0.001237,0.01276,1000,0.10,0.9228,0.05,-0.02381,0.02629
10508,logRR,-0.1211,0.08629,1000,-1.40,0.1608,0.05,-0.2904,0.04822
10508,RR,0.8859,0.07644,1000,11.59,<.0001,0.05,0.7359,1.0360
10534,Zero-Inflation Proportion pi,0.1448,,1000,,,0.05,,
10534,logRR,0.07182,,1000,,,0.05,,
10534,RR,1.0745,,1000,,,0.05,,
10606,Zero-Inflation Proportion pi,0.1137,0.1029,1000,1.11,0.2693,0.05,-0.08815,0.3155
10606,logRR,-0.1453,0.3948,1000,-0.37,0.7129,0.05,-0.9201,0.6295
10606,RR,0.8648,0.3414,1000,2.53,0.0115,0.05,0.1947,1.5348
10607,Zero-Inflation Proportion pi,0.1512,0.1008,1000,1.50,0.1339,0.05,-0.04656,0.3489
10607,logRR,0.1446,0.1780,1000,0.81,0.4169,0.05,-0.2048,0.4939
10607,RR,1.1555,0.2057,1000,5.62,<.0001,0.05,0.7519,1.5592
10618,Zero-Inflation Proportion pi,0.1499,0.1310,1000,1.14,0.2528,0.05,-0.1072,0.4070
10618,logRR,-0.5102,0.5372,1000,-0.95,0.3424,0.05,-1.5643,0.5439
10618,RR,0.6004,0.3225,1000,1.86,0.0629,0.05,-0.03247,1.2332
10619,Zero-Inflation Proportion pi,0.1995,0.1266,1000,1.58,0.1153,0.05,-0.04887,0.4479
10619,logRR,0.01902,0.1974,1000,0.10,0.9233,0.05,-0.3684,0.4064
10619,RR,1.0192,0.2012,1000,5.07,<.0001,0.05,0.6244,1.4140
10702,Zero-Inflation Proportion pi,0.000028,,1000,,,0.05,,
10702,logRR,-0.2997,0.3210,1000,-0.93,0.3508,0.05,-0.9296,0.3303
10702,RR,0.7411,0.2379,1000,3.12,0.0019,0.05,0.2742,1.2079
11367,Zero-Inflation Proportion pi,1.026E-6,,1000,,,0.05,,
11367,logRR,0.4073,0.3175,1000,1.28,0.1999,0.05,-0.2158,1.0303
11367,RR,1.5027,0.4771,1000,3.15,0.0017,0.05,0.5665,2.4389
11375,Zero-Inflation Proportion pi,1E-6,,1000,,,0.05,,
11375,logRR,0.5645,0.5685,1000,0.99,0.3210,0.05,-0.5511,1.6801
11375,RR,1.7586,0.9998,1000,1.76,0.0789,0.05,-0.2033,3.7204
11563,Zero-Inflation Proportion pi,0.1293,0.1213,1000,1.07,0.2865,0.05,-0.1087,0.3673
11563,logRR,0.06721,0.1029,1000,0.65,0.5138,0.05,-0.1347,0.2691
11563,RR,1.0695,0.1101,1000,9.72,<.0001,0.05,0.8536,1.2855
11564,Zero-Inflation Proportion pi,0.1318,0.1162,1000,1.13,0.2569,0.05,-0.09620,0.3598
11564,logRR,0.09241,0.1534,1000,0.60,0.5470,0.05,-0.2086,0.3934
11564,RR,1.0968,0.1682,1000,6.52,<.0001,0.05,0.7667,1.4269
11635,Zero-Inflation Proportion pi,0.1266,0.1004,1000,1.26,0.2076,0.05,-0.07043,0.3237
11635,logRR,-0.5255,0.2228,1000,-2.36,0.0186,0.05,-0.9627,-0.08819
11635,RR,0.5913,0.1318,1000,4.49,<.0001,0.05,0.3327,0.8498
11661,Zero-Inflation Proportion pi,0.000091,,1000,,,0.05,,
11661,logRR,-0.2757,,1000,,,0.05,,
11661,RR,0.7591,,1000,,,0.05,,
11663,Zero-Inflation Proportion pi,0.07825,0.04932,1000,1.59,0.1129,0.05,-0.01853,0.1750
11663,logRR,-0.3760,0.2018,1000,-1.86,0.0626,0.05,-0.7720,0.01987
11663,RR,0.6866,0.1385,1000,4.96,<.0001,0.05,0.4148,0.9584
