metaanalysisid,Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
5654,logRR,-0.7380,0.3856,1000,-1.91,0.0559,0.05,-1.4946,0.01866
5654,RR,0.4781,0.1843,1000,2.59,0.0096,0.05,0.1163,0.8398
5805,logRR,0.5598,,1000,,,0.05,,
5805,RR,1.7502,,1000,,,0.05,,
5823,logRR,0.06349,0.2508,1000,0.25,0.8002,0.05,-0.4287,0.5557
5823,RR,1.0655,0.2672,1000,3.99,<.0001,0.05,0.5411,1.5900
6094,logRR,3.3813,,1000,,,0.05,,
6094,RR,29.4083,,1000,,,0.05,,
6265,logRR,-0.1782,,1000,,,0.05,,
6265,RR,0.8367,,1000,,,0.05,,
6517,logRR,2.2968,0.8518,1000,2.70,0.0071,0.05,0.6252,3.9684
6517,RR,9.9426,8.4695,1000,1.17,0.2407,0.05,-6.6774,26.5627
6592,logRR,-3.2032,,1000,,,0.05,,
6592,RR,0.04063,,1000,,,0.05,,
6640,logRR,1.9539,3.5977,1000,0.54,0.5872,0.05,-5.1061,9.0138
6640,RR,7.0559,25.3852,1000,0.28,0.7811,0.05,-42.7585,56.8703
6660,logRR,-0.3038,,1000,,,0.05,,
6660,RR,0.7380,,1000,,,0.05,,
6694,logRR,2.8125,,1000,,,0.05,,
6694,RR,16.6522,,1000,,,0.05,,
6868,logRR,0.7890,0.2926,1000,2.70,0.0071,0.05,0.2149,1.3631
6868,RR,2.2013,0.6440,1000,3.42,0.0007,0.05,0.9375,3.4650
6889,logRR,0.5611,0.3674,1000,1.53,0.1270,0.05,-0.1599,1.2821
6889,RR,1.7526,0.6439,1000,2.72,0.0066,0.05,0.4890,3.0163
6892,logRR,0.1219,,1000,,,0.05,,
6892,RR,1.1297,,1000,,,0.05,,
6916,logRR,0.03127,0.1056,1000,0.30,0.7673,0.05,-0.1760,0.2385
6916,RR,1.0318,0.1090,1000,9.47,<.0001,0.05,0.8179,1.2456
6955,logRR,0.6184,0.1409,1000,4.39,<.0001,0.05,0.3419,0.8948
6955,RR,1.8559,0.2615,1000,7.10,<.0001,0.05,1.3428,2.3690
6979,logRR,0.4552,0.2037,1000,2.23,0.0257,0.05,0.05546,0.8549
6979,RR,1.5765,0.3211,1000,4.91,<.0001,0.05,0.9463,2.2066
6981,logRR,0.2489,0.2245,1000,1.11,0.2679,0.05,-0.1916,0.6894
6981,RR,1.2826,0.2879,1000,4.45,<.0001,0.05,0.7176,1.8475
6985,logRR,0.9063,0.2271,1000,3.99,<.0001,0.05,0.4607,1.3519
6985,RR,2.4751,0.5620,1000,4.40,<.0001,0.05,1.3722,3.5780
6988,logRR,0.1452,,1000,,,0.05,,
6988,RR,1.1563,,1000,,,0.05,,
6991,logRR,0.3010,0.1917,1000,1.57,0.1166,0.05,-0.07510,0.6771
6991,RR,1.3512,0.2590,1000,5.22,<.0001,0.05,0.8430,1.8594
6994,logRR,0.5491,0.2081,1000,2.64,0.0084,0.05,0.1408,0.9574
6994,RR,1.7318,0.3603,1000,4.81,<.0001,0.05,1.0247,2.4388
7000,logRR,0.04700,0.07729,1000,0.61,0.5432,0.05,-0.1047,0.1987
7000,RR,1.0481,0.08101,1000,12.94,<.0001,0.05,0.8892,1.2071
7003,logRR,0.2745,0.1297,1000,2.12,0.0345,0.05,0.01999,0.5290
7003,RR,1.3159,0.1707,1000,7.71,<.0001,0.05,0.9810,1.6508
7123,logRR,0.3566,0.1365,1000,2.61,0.0091,0.05,0.08884,0.6244
7123,RR,1.4285,0.1949,1000,7.33,<.0001,0.05,1.0460,1.8110
7144,logRR,0.007027,,1000,,,0.05,,
7144,RR,1.0071,,1000,,,0.05,,
7351,logRR,-0.07930,0.03463,1000,-2.29,0.0222,0.05,-0.1472,-0.01134
7351,RR,0.9238,0.03199,1000,28.88,<.0001,0.05,0.8610,0.9865
7360,logRR,0.4096,0.2012,1000,2.04,0.0421,0.05,0.01467,0.8045
7360,RR,1.5062,0.3031,1000,4.97,<.0001,0.05,0.9114,2.1010
7387,logRR,-0.2639,0.07602,1000,-3.47,0.0005,0.05,-0.4131,-0.1147
7387,RR,0.7681,0.05839,1000,13.15,<.0001,0.05,0.6535,0.8826
7399,logRR,-0.3118,0.1169,1000,-2.67,0.0078,0.05,-0.5413,-0.08242
7399,RR,0.7321,0.08559,1000,8.55,<.0001,0.05,0.5641,0.9001
7405,logRR,-0.1209,,1000,,,0.05,,
7405,RR,0.8861,,1000,,,0.05,,
7636,logRR,0.1705,0.2266,1000,0.75,0.4519,0.05,-0.2741,0.6152
7636,RR,1.1859,0.2687,1000,4.41,<.0001,0.05,0.6586,1.7133
7864,logRR,-0.1740,0.09929,1000,-1.75,0.0799,0.05,-0.3689,0.02079
7864,RR,0.8403,0.08343,1000,10.07,<.0001,0.05,0.6765,1.0040
7868,logRR,0.3022,0.1789,1000,1.69,0.0915,0.05,-0.04888,0.6532
7868,RR,1.3528,0.2420,1000,5.59,<.0001,0.05,0.8779,1.8277
7872,logRR,0.4352,0.2736,1000,1.59,0.1120,0.05,-0.1016,0.9720
7872,RR,1.5452,0.4227,1000,3.66,0.0003,0.05,0.7157,2.3747
7953,logRR,0.3456,0.2305,1000,1.50,0.1340,0.05,-0.1066,0.7979
7953,RR,1.4129,0.3256,1000,4.34,<.0001,0.05,0.7739,2.0519
8124,logRR,1.8210,0.6064,1000,3.00,0.0027,0.05,0.6311,3.0109
8124,RR,6.1781,3.7463,1000,1.65,0.0994,0.05,-1.1734,13.5296
8126,logRR,1.0056,0.2565,1000,3.92,<.0001,0.05,0.5024,1.5089
8126,RR,2.7336,0.7011,1000,3.90,0.0001,0.05,1.3579,4.1094
8202,logRR,0.08827,0.4079,1000,0.22,0.8287,0.05,-0.7121,0.8887
8202,RR,1.0923,0.4455,1000,2.45,0.0144,0.05,0.2180,1.9666
8933,logRR,0.03718,0.1506,1000,0.25,0.8050,0.05,-0.2582,0.3326
8933,RR,1.0379,0.1563,1000,6.64,<.0001,0.05,0.7313,1.3445
9112,logRR,-0.09494,,1000,,,0.05,,
9112,RR,0.9094,,1000,,,0.05,,
9114,logRR,0.1179,0.1699,1000,0.69,0.4878,0.05,-0.2154,0.4512
9114,RR,1.1251,0.1911,1000,5.89,<.0001,0.05,0.7501,1.5001
9130,logRR,0.08605,,1000,,,0.05,,
9130,RR,1.0899,,1000,,,0.05,,
9650,logRR,-0.2899,0.09973,1000,-2.91,0.0037,0.05,-0.4855,-0.09416
9650,RR,0.7484,0.07463,1000,10.03,<.0001,0.05,0.6019,0.8948
9656,logRR,-0.4449,0.2184,1000,-2.04,0.0419,0.05,-0.8736,-0.01626
9656,RR,0.6409,0.1400,1000,4.58,<.0001,0.05,0.3662,0.9156
9668,logRR,-0.3451,0.1329,1000,-2.60,0.0096,0.05,-0.6060,-0.08422
9668,RR,0.7081,0.09414,1000,7.52,<.0001,0.05,0.5234,0.8929
9670,logRR,-0.1633,0.05717,1000,-2.86,0.0044,0.05,-0.2755,-0.05110
9670,RR,0.8493,0.04856,1000,17.49,<.0001,0.05,0.7541,0.9446
9672,logRR,-0.1415,0.05486,1000,-2.58,0.0100,0.05,-0.2492,-0.03384
9672,RR,0.8681,0.04762,1000,18.23,<.0001,0.05,0.7746,0.9615
10112,logRR,0.01682,0.1803,1000,0.09,0.9257,0.05,-0.3370,0.3707
10112,RR,1.0170,0.1834,1000,5.55,<.0001,0.05,0.6571,1.3768
10116,logRR,0.03978,0.2552,1000,0.16,0.8761,0.05,-0.4609,0.5405
10116,RR,1.0406,0.2655,1000,3.92,<.0001,0.05,0.5195,1.5616
10118,logRR,-0.04191,0.1977,1000,-0.21,0.8322,0.05,-0.4298,0.3460
10118,RR,0.9590,0.1896,1000,5.06,<.0001,0.05,0.5869,1.3310
10128,logRR,0.02823,0.1549,1000,0.18,0.8554,0.05,-0.2758,0.3322
10128,RR,1.0286,0.1594,1000,6.45,<.0001,0.05,0.7159,1.3413
10132,logRR,-0.02707,0.1996,1000,-0.14,0.8921,0.05,-0.4187,0.3645
10132,RR,0.9733,0.1942,1000,5.01,<.0001,0.05,0.5922,1.3544
10134,logRR,-0.02022,0.1599,1000,-0.13,0.8994,0.05,-0.3341,0.2936
10134,RR,0.9800,0.1567,1000,6.25,<.0001,0.05,0.6724,1.2876
10146,logRR,-0.3150,0.3098,1000,-1.02,0.3094,0.05,-0.9228,0.2928
10146,RR,0.7298,0.2261,1000,3.23,0.0013,0.05,0.2862,1.1734
10148,logRR,0.1149,0.2174,1000,0.53,0.5973,0.05,-0.3117,0.5415
10148,RR,1.1217,0.2439,1000,4.60,<.0001,0.05,0.6432,1.6003
10168,logRR,0.06876,0.1974,1000,0.35,0.7276,0.05,-0.3186,0.4561
10168,RR,1.0712,0.2114,1000,5.07,<.0001,0.05,0.6563,1.4861
10174,logRR,0.08873,0.1596,1000,0.56,0.5784,0.05,-0.2245,0.4019
10174,RR,1.0928,0.1744,1000,6.27,<.0001,0.05,0.7505,1.4350
10180,logRR,0.02145,0.1441,1000,0.15,0.8817,0.05,-0.2613,0.3042
10180,RR,1.0217,0.1472,1000,6.94,<.0001,0.05,0.7328,1.3105
10182,logRR,0.1221,0.1276,1000,0.96,0.3389,0.05,-0.1283,0.3724
10182,RR,1.1298,0.1442,1000,7.84,<.0001,0.05,0.8470,1.4127
10184,logRR,0.2103,,1000,,,0.05,,
10184,RR,1.2341,,1000,,,0.05,,
10270,logRR,0.01178,0.04485,1000,0.26,0.7929,0.05,-0.07624,0.09979
10270,RR,1.0118,0.04538,1000,22.30,<.0001,0.05,0.9228,1.1009
10500,logRR,-0.01094,0.1570,1000,-0.07,0.9445,0.05,-0.3190,0.2971
10500,RR,0.9891,0.1553,1000,6.37,<.0001,0.05,0.6844,1.2938
10508,logRR,0.1204,,1000,,,0.05,,
10508,RR,1.1279,,1000,,,0.05,,
10534,logRR,0.03177,,1000,,,0.05,,
10534,RR,1.0323,,1000,,,0.05,,
10606,logRR,0.2115,0.3897,1000,0.54,0.5874,0.05,-0.5532,0.9763
10606,RR,1.2356,0.4815,1000,2.57,0.0104,0.05,0.2907,2.1805
10607,logRR,-0.1108,0.1718,1000,-0.65,0.5190,0.05,-0.4479,0.2263
10607,RR,0.8951,0.1538,1000,5.82,<.0001,0.05,0.5934,1.1968
10618,logRR,0.5159,0.5666,1000,0.91,0.3628,0.05,-0.5960,1.6278
10618,RR,1.6752,0.9492,1000,1.76,0.0779,0.05,-0.1875,3.5378
10619,logRR,-0.00444,0.1893,1000,-0.02,0.9813,0.05,-0.3759,0.3670
10619,RR,0.9956,0.1884,1000,5.28,<.0001,0.05,0.6258,1.3654
10702,logRR,0.2996,0.3207,1000,0.93,0.3505,0.05,-0.3298,0.9290
10702,RR,1.3493,0.4328,1000,3.12,0.0019,0.05,0.5000,2.1985
11367,logRR,-0.4071,0.3173,1000,-1.28,0.1999,0.05,-1.0298,0.2157
11367,RR,0.6656,0.2112,1000,3.15,0.0017,0.05,0.2511,1.0801
11375,logRR,-0.5803,0.5306,1000,-1.09,0.2744,0.05,-1.6215,0.4609
11375,RR,0.5597,0.2970,1000,1.88,0.0598,0.05,-0.02307,1.1425
11545,logRR,0.04864,0.1189,1000,0.41,0.6826,0.05,-0.1847,0.2820
11545,RR,1.0498,0.1249,1000,8.41,<.0001,0.05,0.8048,1.2949
11563,logRR,-0.05998,0.08926,1000,-0.67,0.5017,0.05,-0.2351,0.1152
11563,RR,0.9418,0.08406,1000,11.20,<.0001,0.05,0.7768,1.1067
11564,logRR,-0.07454,0.1414,1000,-0.53,0.5983,0.05,-0.3521,0.2030
11564,RR,0.9282,0.1313,1000,7.07,<.0001,0.05,0.6705,1.1858
11635,logRR,0.5139,0.2247,1000,2.29,0.0224,0.05,0.07299,0.9548
11635,RR,1.6718,0.3756,1000,4.45,<.0001,0.05,0.9347,2.4089
11661,logRR,0.2743,0.2025,1000,1.35,0.1760,0.05,-0.1232,0.6717
11661,RR,1.3156,0.2664,1000,4.94,<.0001,0.05,0.7927,1.8384
11663,logRR,0.3632,0.2014,1000,1.80,0.0716,0.05,-0.03199,0.7583
11663,RR,1.4379,0.2895,1000,4.97,<.0001,0.05,0.8697,2.0060
11939,logRR,-0.6600,0.1660,1000,-3.97,<.0001,0.05,-0.9858,-0.3341
11939,RR,0.5169,0.08582,1000,6.02,<.0001,0.05,0.3485,0.6853
11950,logRR,0.2680,0.4964,1000,0.54,0.5893,0.05,-0.7060,1.2420
11950,RR,1.3074,0.6489,1000,2.01,0.0442,0.05,0.03395,2.5808
11951,logRR,0.2623,,1000,,,0.05,,
11951,RR,1.3000,,1000,,,0.05,,
12006,logRR,-0.7581,0.2424,1000,-3.13,0.0018,0.05,-1.2338,-0.2824
12006,RR,0.4686,0.1136,1000,4.13,<.0001,0.05,0.2457,0.6915
12020,logRR,-0.5368,,1000,,,0.05,,
12020,RR,0.5846,,1000,,,0.05,,
12166,logRR,-0.3473,0.2017,1000,-1.72,0.0854,0.05,-0.7431,0.04846
12166,RR,0.7066,0.1425,1000,4.96,<.0001,0.05,0.4269,0.9862
12167,logRR,-0.7313,0.1595,1000,-4.59,<.0001,0.05,-1.0443,-0.4183
12167,RR,0.4813,0.07676,1000,6.27,<.0001,0.05,0.3307,0.6319
12168,logRR,-0.6344,,1000,,,0.05,,
12168,RR,0.5302,,1000,,,0.05,,
12433,logRR,-0.01872,,1000,,,0.05,,
12433,RR,0.9815,,1000,,,0.05,,
12524,logRR,0.2672,0.2132,1000,1.25,0.2105,0.05,-0.1512,0.6855
12524,RR,1.3062,0.2785,1000,4.69,<.0001,0.05,0.7597,1.8528
12935,logRR,-0.3574,0.1139,1000,-3.14,0.0018,0.05,-0.5810,-0.1338
12935,RR,0.6995,0.07970,1000,8.78,<.0001,0.05,0.5431,0.8559
12990,logRR,-0.00451,,1000,,,0.05,,
12990,RR,0.9955,,1000,,,0.05,,
13113,logRR,-0.01662,0.08056,1000,-0.21,0.8366,0.05,-0.1747,0.1415
13113,RR,0.9835,0.07923,1000,12.41,<.0001,0.05,0.8280,1.1390
13380,logRR,0.9682,0.2619,1000,3.70,0.0002,0.05,0.4542,1.4822
13380,RR,2.6332,0.6897,1000,3.82,0.0001,0.05,1.2797,3.9867
13405,logRR,0.5120,,1000,,,0.05,,
13405,RR,1.6687,,1000,,,0.05,,
13503,logRR,0.4841,0.2536,1000,1.91,0.0566,0.05,-0.01357,0.9817
13503,RR,1.6227,0.4115,1000,3.94,<.0001,0.05,0.8152,2.4302
13506,logRR,-0.07956,0.1656,1000,-0.48,0.6310,0.05,-0.4046,0.2454
13506,RR,0.9235,0.1530,1000,6.04,<.0001,0.05,0.6234,1.2237
13587,logRR,0.1005,0.07844,1000,1.28,0.2005,0.05,-0.05344,0.2544
13587,RR,1.1057,0.08673,1000,12.75,<.0001,0.05,0.9355,1.2759
13838,logRR,-0.2042,0.1400,1000,-1.46,0.1451,0.05,-0.4790,0.07057
13838,RR,0.8153,0.1142,1000,7.14,<.0001,0.05,0.5913,1.0393
13839,logRR,-0.2863,0.1856,1000,-1.54,0.1233,0.05,-0.6505,0.07797
13839,RR,0.7511,0.1394,1000,5.39,<.0001,0.05,0.4775,1.0246
14181,logRR,1.9664,0.3340,1000,5.89,<.0001,0.05,1.3110,2.6218
14181,RR,7.1451,2.3864,1000,2.99,0.0028,0.05,2.4622,11.8281
14519,logRR,-0.2624,,1000,,,0.05,,
14519,RR,0.7692,,1000,,,0.05,,
14541,logRR,0.1615,0.4128,1000,0.39,0.6957,0.05,-0.6486,0.9716
14541,RR,1.1753,0.4852,1000,2.42,0.0156,0.05,0.2231,2.1274
14682,logRR,1.0457,1.1143,1000,0.94,0.3482,0.05,-1.1408,3.2323
14682,RR,2.8455,3.1707,1000,0.90,0.3697,0.05,-3.3764,9.0674
14687,logRR,-0.7798,0.4196,1000,-1.86,0.0634,0.05,-1.6032,0.04369
14687,RR,0.4585,0.1924,1000,2.38,0.0174,0.05,0.08095,0.8361
14693,logRR,1.0117,0.7917,1000,1.28,0.2016,0.05,-0.5420,2.5653
14693,RR,2.7502,2.1774,1000,1.26,0.2069,0.05,-1.5226,7.0231
14701,logRR,0.5362,0.5002,1000,1.07,0.2840,0.05,-0.4453,1.5176
14701,RR,1.7094,0.8550,1000,2.00,0.0458,0.05,0.03168,3.3872
15080,logRR,0.6160,0.3444,1000,1.79,0.0740,0.05,-0.05980,1.2919
15080,RR,1.8516,0.6377,1000,2.90,0.0038,0.05,0.6002,3.1029
15092,logRR,1.2122,0.3695,1000,3.28,0.0011,0.05,0.4872,1.9372
15092,RR,3.3608,1.2417,1000,2.71,0.0069,0.05,0.9242,5.7974
15104,logRR,0.6386,0.6158,1000,1.04,0.2999,0.05,-0.5697,1.8469
15104,RR,1.8938,1.1661,1000,1.62,0.1047,0.05,-0.3945,4.1822
15105,logRR,0.8363,0.4814,1000,1.74,0.0827,0.05,-0.1084,1.7811
15105,RR,2.3079,1.1111,1000,2.08,0.0380,0.05,0.1275,4.4882
15296,logRR,0.1247,0.08617,1000,1.45,0.1481,0.05,-0.04436,0.2938
15296,RR,1.1328,0.09762,1000,11.60,<.0001,0.05,0.9413,1.3244
15299,logRR,0.1110,0.1293,1000,0.86,0.3909,0.05,-0.1427,0.3646
15299,RR,1.1174,0.1444,1000,7.74,<.0001,0.05,0.8339,1.4008
15308,logRR,0.1862,0.2417,1000,0.77,0.4413,0.05,-0.2882,0.6605
15308,RR,1.2047,0.2912,1000,4.14,<.0001,0.05,0.6332,1.7761
15414,logRR,-0.1375,0.1738,1000,-0.79,0.4289,0.05,-0.4785,0.2035
15414,RR,0.8715,0.1514,1000,5.76,<.0001,0.05,0.5743,1.1687
15437,logRR,-0.06073,0.1635,1000,-0.37,0.7103,0.05,-0.3815,0.2600
15437,RR,0.9411,0.1538,1000,6.12,<.0001,0.05,0.6392,1.2429
15474,logRR,0.3283,0.2395,1000,1.37,0.1708,0.05,-0.1417,0.7982
15474,RR,1.3886,0.3325,1000,4.18,<.0001,0.05,0.7360,2.0411
15476,logRR,-0.4106,0.1892,1000,-2.17,0.0302,0.05,-0.7818,-0.03940
15476,RR,0.6633,0.1255,1000,5.29,<.0001,0.05,0.4171,0.9095
15479,logRR,0.1448,,1000,,,0.05,,
15479,RR,1.1558,,1000,,,0.05,,
15510,logRR,0.4173,0.1928,1000,2.16,0.0307,0.05,0.03892,0.7957
15510,RR,1.5179,0.2927,1000,5.19,<.0001,0.05,0.9435,2.0923
15734,logRR,0.1955,0.2196,1000,0.89,0.3737,0.05,-0.2355,0.6264
15734,RR,1.2159,0.2670,1000,4.55,<.0001,0.05,0.6918,1.7399
15742,logRR,0.2698,0.4234,1000,0.64,0.5242,0.05,-0.5612,1.1007
15742,RR,1.3096,0.5546,1000,2.36,0.0184,0.05,0.2214,2.3979
15744,logRR,0.01418,,1000,,,0.05,,
15744,RR,1.0143,,1000,,,0.05,,
15748,logRR,0.6637,0.3636,1000,1.83,0.0682,0.05,-0.04980,1.3772
15748,RR,1.9420,0.7061,1000,2.75,0.0061,0.05,0.5564,3.3276
15761,logRR,0.3895,0.2889,1000,1.35,0.1779,0.05,-0.1774,0.9563
15761,RR,1.4762,0.4264,1000,3.46,0.0006,0.05,0.6394,2.3129
15765,logRR,-0.3386,0.2286,1000,-1.48,0.1389,0.05,-0.7872,0.1100
15765,RR,0.7128,0.1629,1000,4.37,<.0001,0.05,0.3930,1.0325
15771,logRR,-1.1287,0.6626,1000,-1.70,0.0888,0.05,-2.4288,0.1715
15771,RR,0.3235,0.2143,1000,1.51,0.1315,0.05,-0.09710,0.7440
15860,logRR,0.07474,0.1187,1000,0.63,0.5292,0.05,-0.1583,0.3077
15860,RR,1.0776,0.1279,1000,8.42,<.0001,0.05,0.8265,1.3287
15861,logRR,0.5360,0.3841,1000,1.40,0.1632,0.05,-0.2177,1.2898
15861,RR,1.7092,0.6565,1000,2.60,0.0094,0.05,0.4209,2.9975
15866,logRR,0.2525,0.2338,1000,1.08,0.2803,0.05,-0.2062,0.7112
15866,RR,1.2873,0.3009,1000,4.28,<.0001,0.05,0.6968,1.8778
15876,logRR,-0.2273,0.1652,1000,-1.38,0.1691,0.05,-0.5514,0.09683
15876,RR,0.7967,0.1316,1000,6.05,<.0001,0.05,0.5385,1.0549
15879,logRR,0.2809,0.1596,1000,1.76,0.0787,0.05,-0.03229,0.5940
15879,RR,1.3243,0.2113,1000,6.27,<.0001,0.05,0.9096,1.7390
15885,logRR,-0.2669,0.1491,1000,-1.79,0.0738,0.05,-0.5595,0.02571
15885,RR,0.7657,0.1142,1000,6.71,<.0001,0.05,0.5417,0.9898
15886,logRR,-0.09947,0.2128,1000,-0.47,0.6403,0.05,-0.5171,0.3182
